2021-09-17 02:34:17,807 - INFO - Namespace(a='2', beta_paras='3,6,6,3', budget_list='1,2,3', did='d1', grain_alpha='5', grain_p='10', method='brute', percent_R='0.25', percent_S='0.25', seed='32', version='v09170234')
2021-09-17 02:34:17,826 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=55, len_R=55 
                             percent_S=0.25, num_S=55, len_S=54
2021-09-17 02:34:18,866 - INFO - Finish generate valuations and costs using using a=2
2021-09-17 02:34:20,061 - INFO - load: budget=2; scheme=(1.0,0.2); tilderR=(0) tilderS=(3); result=((168, 125), 0); rev=0.0
2021-09-17 02:34:20,062 - INFO - load: budget=2; scheme=(1.0,0.4); tilderR=(0) tilderS=(19); result=((169, 156), 0); rev=0.0
2021-09-17 02:34:20,063 - INFO - load: budget=2; scheme=(1.0,0.6000000000000001); tilderR=(0) tilderS=(46); result=((214, 125), 0); rev=0.0
2021-09-17 02:34:20,065 - INFO - load: budget=2; scheme=(1.0,0.8); tilderR=(0) tilderS=(54); result=((214, 125), 0); rev=0.0
2021-09-17 02:34:20,066 - INFO - load: budget=2; scheme=(1.0,1.0); tilderR=(0) tilderS=(54); result=((214, 125), 0); rev=0.0
2021-09-17 02:34:20,067 - INFO - compute: budget=3; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,067 - INFO - load: budget=3; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,067 - INFO - load: budget=3; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,067 - INFO - load: budget=3; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,067 - INFO - load: budget=3; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,067 - INFO - load: budget=3; scheme=(0.0,0.0); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,068 - INFO - load: budget=3; scheme=(0.1,0.0); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,068 - INFO - load: budget=3; scheme=(0.1,0.020000000000000004); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,068 - INFO - load: budget=3; scheme=(0.1,0.04000000000000001); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,068 - INFO - load: budget=3; scheme=(0.1,0.06000000000000001); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,068 - INFO - load: budget=3; scheme=(0.1,0.08000000000000002); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,068 - INFO - load: budget=3; scheme=(0.1,0.1); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,068 - INFO - load: budget=3; scheme=(0.2,0.0); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,069 - INFO - load: budget=3; scheme=(0.2,0.04000000000000001); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,070 - INFO - load: budget=3; scheme=(0.2,0.08000000000000002); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,073 - INFO - compute: budget=3; scheme=(0.2,0.12000000000000002); tilderR=(55) tilderS=(1); result=({168}, 631); rev=50.47999999999999
2021-09-17 02:34:20,076 - INFO - compute: budget=3; scheme=(0.2,0.16000000000000003); tilderR=(55) tilderS=(2); result=({168, 125}, 1093); rev=43.71999999999998
2021-09-17 02:34:20,081 - INFO - compute: budget=3; scheme=(0.2,0.2); tilderR=(55) tilderS=(3); result=({168, 125, 46}, 1770); rev=0.0
2021-09-17 02:34:20,082 - INFO - compute: budget=3; scheme=(0.30000000000000004,0.0); tilderR=(54) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,082 - INFO - load: budget=3; scheme=(0.30000000000000004,0.06000000000000001); tilderR=(54) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,085 - INFO - compute: budget=3; scheme=(0.30000000000000004,0.12000000000000002); tilderR=(54) tilderS=(1); result=({168}, 608); rev=109.44000000000001
2021-09-17 02:34:20,089 - INFO - compute: budget=3; scheme=(0.30000000000000004,0.18000000000000005); tilderR=(54) tilderS=(3); result=({168, 125, 46}, 1714); rev=205.67999999999998
2021-09-17 02:34:20,127 - INFO - compute: budget=3; scheme=(0.30000000000000004,0.24000000000000005); tilderR=(54) tilderS=(5); result=((168, 46, 149), 1777); rev=106.61999999999999
2021-09-17 02:34:20,330 - INFO - compute: budget=3; scheme=(0.30000000000000004,0.30000000000000004); tilderR=(54) tilderS=(8); result=((46, 49, 149), 1981); rev=0.0
2021-09-17 02:34:20,332 - INFO - compute: budget=3; scheme=(0.4,0.0); tilderR=(49) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,332 - INFO - load: budget=3; scheme=(0.4,0.08000000000000002); tilderR=(49) tilderS=(0); result=(set(), 0); rev=0.0
