did	lamb	obj	method	budget	scheme	setM	I	W	RI	RW
d1	2.0	A	brute	1	(1.0, 1.0)	(86,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(215,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(90,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(92,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(96,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(98,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(99,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(101,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(108,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(111,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(125,)	0	0	0.0	0.0
d1	2.0	A	brute	2	(0.0, 0.5)	(1, 141)	1173	583.789155188246	-586.5	-291.894577594123
d1	2.0	A	brute	2	(0.0, 0.5)	(1, 13)	1190	600.9453351698803	-595.0	-300.47266758494015
d1	2.0	A	brute	2	(0.0, 0.5)	(1, 143)	1734	844.1141597796143	-867.0	-422.05707988980714
d1	2.0	A	brute	2	(0.0, 0.5)	(1, 19)	1121	567.979054178145	-560.5	-283.9895270890725
d1	2.0	A	brute	2	(0.0, 0.5)	(1, 148)	1212	597.2499081726354	-606.0	-298.6249540863177
d1	2.0	A	brute	2	(0.0, 0.5)	(1, 20)	1022	513.7177869605142	-511.0	-256.8588934802571
d1	2.0	A	brute	2	(0.0, 0.5)	(1, 169)	1368	674.5924517906338	-684.0	-337.2962258953169
d1	2.0	A	brute	2	(0.0, 0.5)	(1, 44)	1239	620.4497061524331	-619.5	-310.22485307621656
d1	2.0	A	brute	2	(0.0, 0.5)	(1, 45)	1292	652.5901652892563	-646.0	-326.29508264462817
d1	2.0	A	brute	2	(0.0, 0.5)	(1, 174)	1207	595.0777685950413	-603.5	-297.53888429752067
d1	2.0	A	brute	2	(0.0, 0.5)	(1, 173)	1424	710.6301561065198	-712.0	-355.3150780532599
d1	2.0	A	brute	2	(0.0, 0.5)	(1, 47)	1126	560.9355004591366	-563.0	-280.4677502295683
d1	2.0	A	brute	2	(0.0, 0.5)	(1, 50)	1215	604.3497704315888	-607.5	-302.1748852157944
d1	2.0	A	brute	2	(0.0, 0.5)	(1, 53)	1482	725.7320110192837	-741.0	-362.86600550964187
d1	2.0	A	brute	2	(0.0, 0.5)	(1, 183)	1642	801.0376124885215	-821.0	-400.51880624426076
d1	2.0	A	brute	2	(0.0, 0.5)	(1, 65)	1366	680.7056932966025	-683.0	-340.35284664830124
d1	2.0	A	brute	2	(0.0, 0.5)	(1, 67)	1098	554.5096418732783	-549.0	-277.25482093663913
d1	2.0	A	brute	2	(0.0, 0.5)	(1, 71)	1174	579.4508815426997	-587.0	-289.72544077134984
d1	2.0	A	brute	2	(0.0, 0.5)	(1, 72)	1416	691.0475298438936	-708.0	-345.5237649219468
d1	2.0	A	brute	2	(0.0, 0.5)	(1, 73)	1345	678.9337741046834	-672.5	-339.4668870523417
d1	2.0	A	brute	2	(0.0, 0.5)	(1, 77)	1336	668.6706427915518	-668.0	-334.3353213957759
d1	2.0	A	brute	2	(0.0, 0.5)	(1, 206)	1232	623.1380532598713	-616.0	-311.56902662993565
