did	lamb	obj	method	budget	scheme	setM_star	I	W	RI	RW
d1	1.0	W	h2	3	(0.55, 0.15)	{143, 53, 183}	1867	1287.83	746.8	833.68
d1	1.0	W	h2	3	(0.55, 0.2)	{143, 53, 183}	1867	1287.83	653.45	769.28
d1	1.0	W	h2	3	(0.55, 0.25)	{143, 53, 183}	1867	1287.83	560.1	704.89
d1	1.0	W	h2	3	(0.55, 0.3)	{143, 53, 183}	1867	1287.83	466.75	640.5
d1	1.0	W	h2	3	(0.55, 0.35)	{143, 53, 183}	1867	1287.83	373.4	576.11
d1	1.0	W	h2	3	(0.55, 0.4)	{143, 53, 183}	1867	1287.83	280.05	511.72
d1	1.0	W	h2	3	(0.55, 0.45)	{143, 53, 183}	1867	1287.83	186.7	447.33
d1	1.0	W	h2	3	(0.55, 0.5)	{143, 53, 183}	1867	1287.83	93.35	382.94
d1	1.0	W	h2	3	(0.55, 0.55)	{143, 53, 183}	1867	1287.83	0.0	318.54
d1	1.0	W	h2	3	(0.55, 0.6)	{143, 53, 183}	1867	1287.83	-93.35	254.15
d1	1.0	W	h2	3	(0.55, 0.65)	{143, 53, 183}	1867	1287.83	-186.7	189.76
d1	1.0	W	h2	3	(0.55, 0.7)	{143, 53, 183}	1867	1287.83	-280.05	125.37
d1	1.0	W	h2	3	(0.55, 0.75)	{143, 53, 183}	1867	1287.83	-373.4	60.98
d1	1.0	W	h2	3	(0.55, 0.8)	{143, 53, 183}	1867	1287.83	-466.75	-3.41
d1	1.0	W	h2	3	(0.55, 0.85)	{143, 53, 183}	1867	1287.83	-560.1	-67.8
d1	1.0	W	h2	3	(0.55, 0.9)	{143, 53, 183}	1867	1287.83	-653.45	-132.19
d1	1.0	W	h2	3	(0.55, 0.95)	{143, 53, 183}	1867	1287.83	-746.8	-196.59
d1	1.0	W	h2	3	(0.55, 1.0)	{143, 53, 183}	1867	1287.83	-840.15	-260.98
d1	1.0	W	h2	3	(0.6, 0.0)	{53}	744	520.61	446.4	446.4
d1	1.0	W	h2	3	(0.6, 0.05)	{53}	744	520.61	409.2	420.37
d1	1.0	W	h2	3	(0.6, 0.1)	{72, 53, 125}	1685	1178.55	842.5	893.15
d1	1.0	W	h2	3	(0.6, 0.15)	{143, 53, 183}	1752	1223.88	788.4	867.62
d1	1.0	W	h2	3	(0.6, 0.2)	{143, 53, 183}	1752	1223.88	700.8	806.42
d1	1.0	W	h2	3	(0.6, 0.25)	{143, 53, 183}	1752	1223.88	613.2	745.23
d1	1.0	W	h2	3	(0.6, 0.3)	{143, 53, 183}	1752	1223.88	525.6	684.04
d1	1.0	W	h2	3	(0.6, 0.35)	{143, 53, 183}	1752	1223.88	438.0	622.84
